Consumer Demographics,Dis Catg,Foot Traffic,Prod Catg,Prod ID,Prod Pos,Promotion,Promotion Status,Seasonal,Comptr's Price,Price,Price Diff,Sales per Price,Sales Vol
Young adults,Higher Price,Medium,Electronics,135857,Aisle,No,Not Promoted,Yes,$34.82,$36.02,$1.20,56.774014436,2045
Families,Higher Price,High,Food,147690,Aisle,Yes,Promoted,No,$16.60,$20.14,$3.54,43.743793446,881
College students,Higher Price,Low,Clothing,130321,End-cap,Yes,Promoted,No,$23.07,$24.71,$1.64,84.702549575,2093
College students,Higher Price,Medium,Clothing,196752,End-cap,No,Not Promoted,No,$15.83,$17.30,$1.47,128.728323699,2227
Seniors,Higher Price,High,Food,181011,Aisle,Yes,Promoted,Yes,$4.06,$8.90,$4.84,111.685393258,994
College students,Higher Price,High,Electronics,139967,End-cap,No,Not Promoted,No,$24.82,$28.70,$3.88,91.777003484,2634
Young adults,Higher Price,High,Electronics,162699,End-cap,No,Not Promoted,Yes,$47.36,$49.58,$2.22,55.102864058,2732
College students,Higher Price,High,Food,119044,Aisle,No,Not Promoted,Yes,$32.79,$36.67,$3.88,31.088082902,1140
Seniors,Higher Price,High,Electronics,121348,End-cap,No,Not Promoted,Yes,$29.00,$32.06,$3.06,31.441048035,1008
Families,Higher Price,Medium,Clothing,163982,Front of Store,No,Not Promoted,No,$12.21,$17.20,$4.99,156.104651163,2685
College students,Higher Price,High,Clothing,185774,End-cap,Yes,Promoted,Yes,$2.63,$7.33,$4.70,156.207366985,1145
Families,Higher Price,High,Clothing,144651,Aisle,Yes,Promoted,No,$31.40,$31.45,$0.05,56.947535771,1791
Families,Higher Price,High,Food,195103,Aisle,Yes,Promoted,No,$41.50,$41.79,$0.29,68.174204355,2849
Seniors,Higher Price,Low,Food,123047,Aisle,No,Not Promoted,Yes,$6.03,$9.88,$3.85,302.125506073,2985
Young adults,Higher Price,Medium,Electronics,123077,Front of Store,No,Not Promoted,No,$13.48,$16.27,$2.79,98.524892440,1603
Young adults,Higher Price,High,Electronics,171860,Aisle,Yes,Promoted,No,$39.47,$43.18,$3.71,16.373320982,707
Families,Higher Price,High,Clothing,149487,Aisle,No,Not Promoted,Yes,$20.91,$25.54,$4.63,49.256068912,1258
College students,Higher Price,Medium,Clothing,168516,Front of Store,Yes,Promoted,No,$14.13,$17.09,$2.96,126.857811586,2168
Young adults,Higher Price,Low,Electronics,177771,End-cap,Yes,Promoted,Yes,$36.32,$37.72,$1.40,46.765641569,1764
College students,Higher Price,Medium,Electronics,172015,End-cap,Yes,Promoted,Yes,$30.50,$33.93,$3.43,77.276746242,2622
Young adults,Higher Price,Medium,Clothing,118985,Aisle,No,Not Promoted,Yes,$48.16,$49.12,$0.96,14.128664495,694
Young adults,Higher Price,High,Food,112194,Aisle,Yes,Promoted,Yes,$10.78,$14.02,$3.24,155.991440799,2187
Seniors,Higher Price,Low,Food,113435,Aisle,No,Not Promoted,Yes,$3.47,$6.72,$3.25,442.410714286,2973
Young adults,Higher Price,Medium,Electronics,159182,Front of Store,Yes,Promoted,No,$4.44,$8.55,$4.11,118.596491228,1014
Families,Higher Price,Low,Clothing,199233,Aisle,Yes,Promoted,No,$13.20,$13.99,$0.79,158.827734096,2222
Seniors,Higher Price,Low,Electronics,137044,Aisle,No,Not Promoted,Yes,$45.42,$46.20,$0.78,54.848484848,2534
Families,Higher Price,Medium,Food,154736,Front of Store,Yes,Promoted,Yes,$7.91,$9.28,$1.37,157.974137931,1466
Families,Higher Price,Low,Clothing,141434,Front of Store,No,Not Promoted,Yes,$45.81,$46.60,$0.79,61.587982833,2870
Seniors,Higher Price,Medium,Food,155659,Aisle,Yes,Promoted,Yes,$42.54,$47.38,$4.84,56.015196285,2654
Seniors,Higher Price,High,Food,168643,End-cap,No,Not Promoted,No,$32.47,$33.26,$0.79,65.123271197,2166
Families,Higher Price,Medium,Clothing,175357,End-cap,No,Not Promoted,Yes,$20.07,$23.04,$2.97,37.630208333,867
College students,Higher Price,Medium,Food,137530,Front of Store,No,Not Promoted,No,$41.12,$45.45,$4.33,33.487348735,1522
Young adults,Higher Price,Low,Electronics,153482,Aisle,Yes,Promoted,No,$36.33,$39.56,$3.23,75.050556117,2969
Young adults,Higher Price,Medium,Food,112593,Aisle,No,Not Promoted,Yes,$41.17,$41.98,$0.81,63.149118628,2651
College students,Higher Price,Low,Electronics,110241,End-cap,No,Not Promoted,No,$27.00,$28.62,$1.62,82.215234102,2353
Families,Higher Price,High,Food,144970,Front of Store,No,Not Promoted,Yes,$40.38,$44.16,$3.78,33.084239130,1461
Young adults,Higher Price,Low,Electronics,114822,Front of Store,Yes,Promoted,No,$16.78,$17.98,$1.20,94.438264739,1698
College students,Higher Price,Medium,Electronics,153452,Front of Store,Yes,Promoted,Yes,$31.14,$34.49,$3.35,45.317483329,1563
Families,Higher Price,Low,Electronics,144264,End-cap,Yes,Promoted,Yes,$11.40,$14.56,$3.16,172.802197802,2516
Seniors,Higher Price,Medium,Food,128749,Front of Store,Yes,Promoted,No,$42.78,$44.71,$1.93,23.730709014,1061
College students,Higher Price,Medium,Food,147955,End-cap,No,Not Promoted,Yes,$14.60,$19.47,$4.87,97.483307653,1898
Families,Higher Price,High,Clothing,142210,Front of Store,Yes,Promoted,No,$38.51,$42.69,$4.18,45.888966971,1959
Families,Higher Price,High,Clothing,110696,Aisle,No,Not Promoted,No,$32.63,$33.20,$0.57,79.216867470,2630
Seniors,Higher Price,Low,Food,111826,Front of Store,No,Not Promoted,No,$27.70,$29.04,$1.34,66.322314050,1926
Young adults,Higher Price,Medium,Clothing,118116,End-cap,No,Not Promoted,No,$38.23,$38.60,$0.37,48.108808290,1857
College students,Higher Price,Low,Clothing,152727,Front of Store,No,Not Promoted,Yes,$13.43,$15.44,$2.01,89.572538860,1383
Seniors,Higher Price,Medium,Food,198291,Front of Store,Yes,Promoted,No,$19.80,$21.52,$1.72,115.009293680,2475
College students,Higher Price,Medium,Clothing,136227,End-cap,No,Not Promoted,Yes,$13.66,$18.39,$4.73,133.333333333,2452
Families,Higher Price,High,Electronics,144031,End-cap,No,Not Promoted,Yes,$19.74,$19.87,$0.13,73.980875692,1470
College students,Higher Price,High,Clothing,198924,End-cap,Yes,Promoted,Yes,$19.29,$22.87,$3.58,33.930913861,776
Families,Higher Price,Medium,Clothing,187922,Front of Store,No,Not Promoted,Yes,$17.31,$17.82,$0.51,94.725028058,1688
College students,Higher Price,Medium,Food,168448,End-cap,Yes,Promoted,Yes,$40.88,$44.19,$3.31,66.214075583,2926
Seniors,Higher Price,Low,Electronics,192111,Aisle,No,Not Promoted,No,$17.54,$20.88,$3.34,35.296934866,737
Families,Higher Price,High,Electronics,185466,Aisle,No,Not Promoted,No,$14.72,$14.83,$0.11,34.322319622,509
Young adults,Higher Price,Medium,Food,174277,End-cap,No,Not Promoted,Yes,$20.72,$20.76,$0.04,112.861271676,2343
Families,Higher Price,Low,Electronics,158519,Aisle,Yes,Promoted,No,$11.61,$16.41,$4.80,121.023765996,1986
Young adults,Higher Price,Medium,Food,178624,Front of Store,No,Not Promoted,No,$20.60,$23.22,$2.62,78.423772610,1821
Seniors,Higher Price,High,Electronics,123728,Aisle,Yes,Promoted,No,$9.07,$11.53,$2.46,231.483087598,2669
College students,Higher Price,Low,Food,197954,Aisle,Yes,Promoted,No,$22.66,$27.06,$4.40,88.359201774,2391
Young adults,Higher Price,Medium,Food,133328,Front of Store,No,Not Promoted,Yes,$12.63,$16.63,$4.00,74.624173181,1241
Young adults,Higher Price,High,Clothing,145345,End-cap,Yes,Promoted,No,$36.95,$37.29,$0.34,23.303834808,869
College students,Higher Price,Medium,Electronics,116054,Front of Store,No,Not Promoted,Yes,$39.42,$43.59,$4.17,67.240192705,2931
Families,Higher Price,Medium,Electronics,173141,Front of Store,Yes,Promoted,Yes,$15.78,$16.63,$0.85,103.487672880,1721
College students,Higher Price,Medium,Electronics,178180,Aisle,Yes,Promoted,No,$24.45,$25.99,$1.54,22.354751828,581
College students,Higher Price,Medium,Clothing,129418,End-cap,No,Not Promoted,Yes,$16.58,$20.06,$3.48,35.244267198,707
Young adults,Higher Price,Medium,Food,188708,Front of Store,Yes,Promoted,Yes,$25.10,$26.67,$1.57,24.971878515,666
College students,Higher Price,Medium,Electronics,132833,Aisle,Yes,Promoted,No,$28.82,$31.79,$2.97,20.195029884,642
Seniors,Higher Price,Low,Electronics,146914,Front of Store,No,Not Promoted,No,$36.64,$41.24,$4.60,66.561590689,2745
Families,Higher Price,Medium,Food,113624,Front of Store,No,Not Promoted,No,$44.86,$47.84,$2.98,51.797658863,2478
Families,Higher Price,Low,Food,180250,Front of Store,No,Not Promoted,Yes,$12.61,$12.65,$0.04,229.723320158,2906
Families,Higher Price,High,Food,137287,Aisle,Yes,Promoted,Yes,$45.85,$46.20,$0.35,13.225108225,611
Young adults,Higher Price,High,Food,150836,End-cap,No,Not Promoted,Yes,$31.08,$34.97,$3.89,20.989419502,734
Families,Higher Price,High,Clothing,151474,End-cap,Yes,Promoted,Yes,$26.88,$29.23,$2.35,80.944235375,2366
College students,Higher Price,Low,Food,119803,End-cap,No,Not Promoted,Yes,$40.82,$43.26,$2.44,36.523347203,1580
Seniors,Higher Price,Medium,Electronics,115986,Front of Store,Yes,Promoted,Yes,$6.72,$10.16,$3.44,193.996062992,1971
Families,Higher Price,Low,Food,181896,Front of Store,No,Not Promoted,Yes,$6.80,$10.82,$4.02,53.789279113,582
Young adults,Higher Price,Low,Food,115036,End-cap,Yes,Promoted,No,$41.26,$45.34,$4.08,21.195412439,961
Families,Higher Price,Medium,Clothing,179683,End-cap,Yes,Promoted,Yes,$3.41,$5.58,$2.17,331.003584229,1847
Seniors,Higher Price,Low,Food,151421,Front of Store,No,Not Promoted,Yes,$22.38,$26.86,$4.48,63.886820551,1716
Seniors,Higher Price,Low,Electronics,169867,End-cap,No,Not Promoted,No,$33.42,$35.27,$1.85,31.046214914,1095
Young adults,Higher Price,Medium,Electronics,191946,Aisle,No,Not Promoted,Yes,$8.82,$8.84,$0.02,170.475113122,1507
Young adults,Higher Price,Medium,Food,165630,Front of Store,Yes,Promoted,No,$31.86,$36.42,$4.56,65.376166941,2381
Families,Higher Price,High,Electronics,173122,Front of Store,Yes,Promoted,Yes,$10.96,$15.04,$4.08,86.369680851,1299
Young adults,Higher Price,Medium,Electronics,137617,End-cap,No,Not Promoted,Yes,$43.92,$46.48,$2.56,20.030120482,931
Families,Higher Price,Medium,Food,181415,Aisle,No,Not Promoted,Yes,$42.40,$44.00,$1.60,49.522727273,2179
Young adults,Higher Price,High,Food,141652,End-cap,No,Not Promoted,Yes,$11.24,$12.79,$1.55,127.756059421,1634
Seniors,Higher Price,Medium,Food,161479,End-cap,Yes,Promoted,No,$23.59,$25.99,$2.40,53.135821470,1381
Families,Higher Price,High,Clothing,152924,End-cap,Yes,Promoted,No,$15.59,$19.26,$3.67,43.873312565,845
Seniors,Higher Price,Medium,Food,176510,End-cap,No,Not Promoted,No,$43.44,$46.46,$3.02,44.662074903,2075
College students,Higher Price,Medium,Food,156390,End-cap,No,Not Promoted,No,$25.84,$30.51,$4.67,97.082923632,2962
Young adults,Higher Price,Medium,Clothing,177033,Aisle,No,Not Promoted,No,$3.54,$5.08,$1.54,129.921259843,660
Young adults,Higher Price,Medium,Electronics,133753,Front of Store,Yes,Promoted,Yes,$26.52,$30.11,$3.59,47.093988708,1418
Seniors,Higher Price,High,Food,165841,Aisle,Yes,Promoted,Yes,$31.05,$35.69,$4.64,57.663210983,2058
College students,Higher Price,High,Clothing,183061,End-cap,No,Not Promoted,No,$30.14,$33.67,$3.53,79.536679537,2678
Seniors,Higher Price,Low,Electronics,125175,Front of Store,No,Not Promoted,No,$41.70,$43.43,$1.73,27.906976744,1212
College students,Higher Price,Medium,Food,115464,Aisle,No,Not Promoted,No,$28.57,$31.14,$2.57,32.145150931,1001
Young adults,Higher Price,High,Food,117231,End-cap,No,Not Promoted,No,$46.81,$47.65,$0.84,17.166841553,818
Families,Higher Price,Medium,Food,154948,End-cap,Yes,Promoted,Yes,$34.52,$35.18,$0.66,44.030699261,1549
Seniors,Higher Price,Medium,Electronics,197375,Aisle,No,Not Promoted,No,$16.93,$17.24,$0.31,65.835266821,1135
Seniors,Higher Price,Low,Food,191131,Front of Store,No,Not Promoted,Yes,$12.32,$17.29,$4.97,106.015037594,1833
Seniors,Higher Price,Medium,Food,131682,Aisle,Yes,Promoted,Yes,$38.32,$41.89,$3.57,62.497015994,2618
Young adults,Higher Price,Medium,Electronics,196276,End-cap,No,Not Promoted,No,$32.14,$32.26,$0.12,32.424054557,1046
Young adults,Higher Price,Medium,Electronics,190412,Aisle,Yes,Promoted,Yes,$4.09,$7.35,$3.26,361.360544218,2656
Families,Higher Price,High,Clothing,149903,End-cap,Yes,Promoted,Yes,$36.06,$38.17,$2.11,70.028818444,2673
College students,Higher Price,Low,Food,189131,Aisle,Yes,Promoted,No,$16.50,$19.12,$2.62,126.778242678,2424
Young adults,Higher Price,Low,Electronics,148327,Front of Store,Yes,Promoted,Yes,$30.30,$31.77,$1.47,54.044696254,1717
Seniors,Higher Price,Low,Electronics,189088,Aisle,No,Not Promoted,Yes,$14.41,$15.93,$1.52,132.831136221,2116
Seniors,Higher Price,Medium,Food,143305,Aisle,No,Not Promoted,Yes,$11.80,$13.33,$1.53,216.054013503,2880
College students,Higher Price,High,Clothing,180943,Front of Store,No,Not Promoted,Yes,$13.88,$17.48,$3.60,156.407322654,2734
Seniors,Higher Price,High,Clothing,152059,Front of Store,No,Not Promoted,No,$12.61,$17.05,$4.44,63.988269795,1091
Families,Higher Price,High,Electronics,133691,Aisle,No,Not Promoted,No,$48.64,$49.80,$1.16,58.614457831,2919
Young adults,Higher Price,High,Food,161644,End-cap,No,Not Promoted,Yes,$23.86,$28.16,$4.30,40.660511364,1145
Families,Higher Price,High,Food,132643,Aisle,No,Not Promoted,Yes,$43.36,$44.21,$0.85,12.802533363,566
Young adults,Higher Price,Medium,Food,162317,End-cap,No,Not Promoted,Yes,$18.04,$21.33,$3.29,118.002812940,2517
Young adults,Higher Price,Medium,Food,128592,Front of Store,No,Not Promoted,No,$10.38,$11.29,$0.91,96.191319752,1086
Young adults,Higher Price,High,Food,192892,Front of Store,Yes,Promoted,Yes,$33.80,$35.43,$1.63,74.033305109,2623
Families,Higher Price,Medium,Food,197147,Front of Store,No,Not Promoted,No,$44.32,$44.35,$0.03,49.718151071,2205
College students,Higher Price,Low,Food,130871,Front of Store,No,Not Promoted,Yes,$10.90,$13.89,$2.99,50.899928006,707
Young adults,Higher Price,Low,Clothing,184314,Aisle,No,Not Promoted,No,$25.68,$29.60,$3.92,90.844594595,2689
College students,Higher Price,Low,Electronics,131922,Front of Store,Yes,Promoted,Yes,$37.77,$40.96,$3.19,37.6953125,1544
Families,Higher Price,Medium,Food,130546,End-cap,Yes,Promoted,Yes,$38.01,$41.34,$3.33,67.150459603,2776
Seniors,Higher Price,Medium,Clothing,167541,End-cap,Yes,Promoted,Yes,$15.96,$20.15,$4.19,101.935483871,2054
Families,Higher Price,Medium,Food,165128,Front of Store,Yes,Promoted,No,$2.21,$5.80,$3.59,214.137931034,1242
Seniors,Higher Price,Low,Electronics,126255,Front of Store,Yes,Promoted,Yes,$22.97,$23.10,$0.13,51.731601732,1195
Seniors,Higher Price,Low,Clothing,176976,End-cap,No,Not Promoted,Yes,$41.70,$41.72,$0.02,67.713326942,2825
Seniors,Higher Price,Low,Food,185599,Aisle,No,Not Promoted,No,$19.71,$24.04,$4.33,110.482529118,2656
Families,Higher Price,Medium,Food,167273,End-cap,No,Not Promoted,No,$3.40,$5.55,$2.15,287.927927928,1598
Families,Higher Price,High,Clothing,189296,End-cap,Yes,Promoted,No,$34.90,$39.00,$4.10,37.230769231,1452
College students,Higher Price,Low,Electronics,125082,End-cap,No,Not Promoted,No,$28.24,$29.75,$1.51,48.605042017,1446
Seniors,Higher Price,High,Clothing,116920,Aisle,Yes,Promoted,No,$29.15,$32.25,$3.10,50.666666667,1634
Seniors,Higher Price,Medium,Clothing,111320,End-cap,No,Not Promoted,Yes,$43.38,$44.51,$1.13,24.668613795,1098
Families,Higher Price,Medium,Clothing,172247,End-cap,No,Not Promoted,No,$11.00,$11.85,$0.85,73.164556962,867
Seniors,Higher Price,High,Food,143462,End-cap,No,Not Promoted,No,$29.20,$33.11,$3.91,70.341286620,2329
Seniors,Higher Price,Low,Clothing,125637,Front of Store,No,Not Promoted,Yes,$21.83,$24.67,$2.84,72.841507904,1797
Families,Higher Price,Medium,Clothing,115827,End-cap,Yes,Promoted,Yes,$5.40,$8.90,$3.50,296.179775281,2636
Young adults,Higher Price,Low,Food,183225,End-cap,Yes,Promoted,No,$37.14,$37.72,$0.58,70.493107105,2659
Young adults,Higher Price,High,Electronics,133283,Aisle,Yes,Promoted,No,$28.74,$30.44,$1.70,63.633377135,1937
Families,Higher Price,Low,Electronics,164389,Front of Store,No,Not Promoted,Yes,$19.44,$23.18,$3.74,40.811044003,946
Seniors,Higher Price,Low,Clothing,163108,Aisle,No,Not Promoted,Yes,$8.56,$9.48,$0.92,212.552742616,2015
Young adults,Higher Price,Medium,Food,160121,Aisle,Yes,Promoted,Yes,$42.27,$45.89,$3.62,39.790804097,1826
College students,Higher Price,Low,Clothing,141116,Front of Store,Yes,Promoted,Yes,$13.42,$13.57,$0.15,160.280029477,2175
Seniors,Higher Price,High,Clothing,157901,End-cap,Yes,Promoted,No,$44.81,$44.95,$0.14,54.037819800,2429
Seniors,Higher Price,Medium,Food,165017,Aisle,Yes,Promoted,Yes,$28.21,$29.79,$1.58,75.763679087,2257
Families,Higher Price,Medium,Food,165689,End-cap,No,Not Promoted,No,$39.78,$41.01,$1.23,16.971470373,696
Young adults,Higher Price,High,Food,172370,End-cap,No,Not Promoted,No,$48.76,$49.94,$1.18,35.822987585,1789
Seniors,Higher Price,Medium,Electronics,149539,End-cap,No,Not Promoted,No,$4.53,$6.23,$1.70,353.611556982,2203
Young adults,Higher Price,High,Food,149127,Front of Store,No,Not Promoted,No,$45.65,$46.45,$0.80,58.708288482,2727
Seniors,Higher Price,High,Food,199887,Front of Store,No,Not Promoted,Yes,$29.19,$29.76,$0.57,37.264784946,1109
Young adults,Higher Price,Low,Clothing,166103,End-cap,Yes,Promoted,Yes,$21.43,$21.80,$0.37,111.376146789,2428
Seniors,Higher Price,Medium,Food,144850,Front of Store,No,Not Promoted,No,$24.92,$25.49,$0.57,85.916045508,2190
Young adults,Higher Price,High,Food,139746,Aisle,Yes,Promoted,Yes,$11.23,$14.04,$2.81,49.786324786,699
Young adults,Higher Price,Low,Food,177685,Aisle,No,Not Promoted,No,$28.94,$29.68,$0.74,74.258760108,2204
College students,Higher Price,High,Electronics,166728,Aisle,Yes,Promoted,No,$23.68,$25.92,$2.24,20.910493827,542
Seniors,Higher Price,Medium,Food,116065,Front of Store,Yes,Promoted,Yes,$35.72,$36.88,$1.16,78.958785249,2912
Families,Higher Price,Low,Electronics,110033,Front of Store,Yes,Promoted,Yes,$39.38,$40.15,$0.77,49.763387298,1998
Seniors,Higher Price,High,Electronics,164617,Front of Store,Yes,Promoted,No,$38.19,$41.60,$3.41,13.870192308,577
College students,Higher Price,Low,Electronics,112314,Aisle,Yes,Promoted,No,$41.94,$42.47,$0.53,32.258064516,1370
Seniors,Higher Price,Low,Electronics,130671,End-cap,Yes,Promoted,No,$31.23,$35.95,$4.72,67.649513213,2432
Families,Higher Price,High,Electronics,176094,End-cap,Yes,Promoted,No,$28.91,$32.37,$3.46,46.524559778,1506
Seniors,Higher Price,High,Food,133227,Front of Store,Yes,Promoted,Yes,$10.09,$13.73,$3.64,139.184268026,1911
College students,Higher Price,High,Food,170530,Aisle,Yes,Promoted,Yes,$33.16,$34.86,$1.70,25.243832473,880
Seniors,Higher Price,Medium,Clothing,195782,Front of Store,No,Not Promoted,No,$18.07,$22.20,$4.13,123.783783784,2748
Young adults,Higher Price,Medium,Food,113054,End-cap,Yes,Promoted,No,$28.27,$32.09,$3.82,53.131816765,1705
Families,Higher Price,Medium,Food,198313,Aisle,No,Not Promoted,Yes,$33.43,$33.95,$0.52,38.232695140,1298
Seniors,Higher Price,High,Clothing,158628,End-cap,Yes,Promoted,Yes,$17.88,$22.29,$4.41,31.763122476,708
Seniors,Higher Price,High,Electronics,154165,Aisle,No,Not Promoted,Yes,$30.04,$30.33,$0.29,62.215628091,1887
Seniors,Higher Price,Medium,Clothing,122473,Aisle,No,Not Promoted,Yes,$31.52,$32.20,$0.68,49.813664596,1604
College students,Higher Price,Low,Food,150408,End-cap,Yes,Promoted,Yes,$27.95,$31.86,$3.91,50.313873195,1603
College students,Higher Price,Low,Clothing,178253,Aisle,No,Not Promoted,Yes,$9.57,$13.82,$4.25,188.784370478,2609
Families,Higher Price,Medium,Clothing,182211,End-cap,No,Not Promoted,Yes,$5.80,$6.38,$0.58,306.583072100,1956
College students,Higher Price,High,Clothing,157396,Front of Store,Yes,Promoted,No,$4.30,$7.24,$2.94,266.436464088,1929
Seniors,Higher Price,Low,Electronics,152736,Aisle,Yes,Promoted,No,$4.25,$6.99,$2.74,81.545064378,570
Young adults,Higher Price,High,Electronics,168051,Aisle,No,Not Promoted,Yes,$9.96,$13.03,$3.07,128.933231005,1680
College students,Higher Price,Medium,Clothing,119648,Aisle,No,Not Promoted,No,$28.87,$31.46,$2.59,74.888747616,2356
College students,Higher Price,Low,Electronics,130206,Aisle,Yes,Promoted,No,$32.19,$37.16,$4.97,67.545748116,2510
Families,Higher Price,Medium,Clothing,153501,Aisle,Yes,Promoted,Yes,$29.41,$29.56,$0.15,37.313937754,1103
Seniors,Higher Price,High,Clothing,196059,Aisle,No,Not Promoted,No,$38.22,$43.14,$4.92,39.221140473,1692
Young adults,Higher Price,Low,Clothing,153655,Aisle,Yes,Promoted,No,$3.65,$6.98,$3.33,422.492836676,2949
Young adults,Higher Price,Medium,Electronics,191803,Front of Store,Yes,Promoted,Yes,$18.39,$22.04,$3.65,88.747731397,1956
College students,Higher Price,Low,Electronics,145992,Front of Store,Yes,Promoted,No,$4.12,$5.25,$1.13,289.333333333,1519
Young adults,Higher Price,High,Electronics,118967,End-cap,Yes,Promoted,No,$4.75,$7.93,$3.18,97.982345523,777
College students,Higher Price,High,Food,125062,End-cap,No,Not Promoted,No,$43.36,$45.23,$1.87,16.979880610,768
Families,Higher Price,High,Clothing,165448,End-cap,Yes,Promoted,Yes,$41.87,$46.61,$4.74,27.762282772,1294
Seniors,Higher Price,Low,Electronics,160827,End-cap,No,Not Promoted,Yes,$21.37,$25.91,$4.54,98.610575068,2555
Young adults,Higher Price,Medium,Electronics,125378,Aisle,Yes,Promoted,No,$22.66,$23.53,$0.87,75.223119422,1770
College students,Higher Price,High,Food,185547,Aisle,Yes,Promoted,Yes,$32.20,$33.88,$1.68,86.570247934,2933
Seniors,Higher Price,High,Clothing,191475,Aisle,No,Not Promoted,No,$26.09,$29.88,$3.79,60.508701473,1808
Families,Higher Price,Medium,Electronics,193605,Front of Store,No,Not Promoted,Yes,$1.25,$5.18,$3.93,185.328185328,960
Young adults,Higher Price,Low,Electronics,193179,Front of Store,Yes,Promoted,Yes,$25.39,$29.65,$4.26,87.453625632,2593
Young adults,Higher Price,Medium,Electronics,131808,Front of Store,Yes,Promoted,No,$3.93,$5.49,$1.56,377.231329690,2071
Young adults,Higher Price,High,Electronics,134615,End-cap,No,Not Promoted,Yes,$43.95,$46.83,$2.88,52.124706385,2441
Young adults,Higher Price,High,Clothing,142414,Aisle,Yes,Promoted,No,$43.50,$47.21,$3.71,56.831179835,2683
Families,Higher Price,High,Clothing,152245,Aisle,No,Not Promoted,No,$28.50,$30.79,$2.29,35.888275414,1105
College students,Higher Price,High,Clothing,186093,End-cap,No,Not Promoted,Yes,$41.97,$42.17,$0.20,40.241878112,1697
Seniors,Higher Price,High,Electronics,123603,Aisle,Yes,Promoted,No,$19.02,$23.26,$4.24,127.386070507,2963
Families,Higher Price,High,Clothing,178518,Front of Store,No,Not Promoted,No,$37.74,$38.84,$1.10,56.642636457,2200
College students,Higher Price,High,Electronics,185924,Front of Store,Yes,Promoted,No,$1.86,$5.84,$3.98,486.301369863,2840
Seniors,Higher Price,Low,Food,161426,End-cap,No,Not Promoted,No,$43.27,$44.13,$0.86,39.406299569,1739
College students,Higher Price,Low,Clothing,179528,End-cap,No,Not Promoted,No,$36.20,$40.14,$3.94,74.713502740,2999
Seniors,Higher Price,Low,Electronics,152881,Front of Store,Yes,Promoted,No,$22.81,$27.34,$4.53,108.668617410,2971
College students,Higher Price,Low,Food,158853,Aisle,Yes,Promoted,No,$41.51,$46.23,$4.72,17.153363617,793
Young adults,Higher Price,Low,Electronics,186138,Aisle,No,Not Promoted,Yes,$30.17,$33.23,$3.06,79.476376768,2641
Young adults,Higher Price,High,Food,183223,Aisle,Yes,Promoted,Yes,$27.47,$27.65,$0.18,42.350813743,1171
Seniors,Higher Price,Low,Clothing,113169,Aisle,Yes,Promoted,No,$20.12,$22.42,$2.30,132.515611062,2971
College students,Higher Price,High,Food,138256,Front of Store,Yes,Promoted,No,$26.41,$30.63,$4.22,71.433235390,2188
Seniors,Higher Price,High,Food,115815,End-cap,Yes,Promoted,Yes,$25.64,$29.87,$4.23,43.086709073,1287
Young adults,Higher Price,Medium,Electronics,162665,Aisle,Yes,Promoted,Yes,$27.44,$27.54,$0.10,70.660856935,1946
College students,Higher Price,High,Electronics,135610,End-cap,No,Not Promoted,Yes,$4.47,$6.20,$1.73,320.806451613,1989
Families,Higher Price,High,Clothing,164361,Aisle,Yes,Promoted,Yes,$8.19,$11.57,$3.38,134.572169404,1557
Families,Higher Price,Low,Clothing,112551,Front of Store,No,Not Promoted,No,$9.74,$12.44,$2.70,85.209003215,1060
College students,Higher Price,Medium,Electronics,184922,Aisle,Yes,Promoted,Yes,$47.27,$49.70,$2.43,49.517102616,2461
Young adults,Higher Price,High,Food,159197,Front of Store,Yes,Promoted,Yes,$31.66,$36.55,$4.89,75.102599179,2745
Seniors,Higher Price,Medium,Food,162972,Front of Store,Yes,Promoted,Yes,$21.24,$25.44,$4.20,70.833333333,1802
Seniors,Higher Price,High,Electronics,194018,Front of Store,Yes,Promoted,No,$22.78,$27.67,$4.89,37.007589447,1024
Young adults,Higher Price,High,Clothing,128043,Aisle,Yes,Promoted,No,$6.91,$11.00,$4.09,60.636363636,667
College students,Higher Price,Medium,Clothing,194508,Front of Store,No,Not Promoted,Yes,$10.21,$11.03,$0.82,243.970988214,2691
College students,Higher Price,Low,Clothing,125010,Front of Store,Yes,Promoted,No,$26.40,$30.97,$4.57,17.210203423,533
Seniors,Higher Price,Low,Electronics,157494,Aisle,Yes,Promoted,Yes,$19.10,$21.68,$2.58,65.036900369,1410
Young adults,Higher Price,Low,Clothing,195774,End-cap,No,Not Promoted,No,$42.76,$47.46,$4.70,61.209439528,2905
Seniors,Higher Price,Low,Clothing,133617,End-cap,No,Not Promoted,Yes,$32.89,$34.49,$1.60,83.531458394,2881
Families,Higher Price,High,Electronics,176459,Front of Store,No,Not Promoted,No,$36.86,$39.72,$2.86,16.540785498,657
Seniors,Higher Price,Low,Clothing,138820,Aisle,Yes,Promoted,Yes,$2.03,$5.85,$3.82,508.547008547,2975
Families,Higher Price,Low,Clothing,152123,Front of Store,Yes,Promoted,No,$25.02,$26.07,$1.05,36.632144227,955
Seniors,Higher Price,High,Clothing,165842,Front of Store,No,Not Promoted,Yes,$37.68,$40.62,$2.94,15.583456425,633
College students,Higher Price,Medium,Electronics,160474,Front of Store,Yes,Promoted,Yes,$6.83,$10.30,$3.47,138.834951456,1430
